"Timestamp","Do you agree to participate in this study?","How old are you?","How often do you use social media?","How familiar are you with dark patterns?","How familiar are you with addictive design patterns?","Does this design contain addictive or manipulative patterns?","How confident are you in your answer?","Why did you answer that way?","Does this design contain addictive or manipulative patterns?","How confident are you in your answer?","Why did you answer that way?","Does this design contain addictive or manipulative patterns?","How confident are you in your answer?","Why did you answer that way?","Does this design contain addictive or manipulative patterns?","How confident are you in your answer?","Why did you answer that way?","Does this design contain addictive or manipulative patterns?","How confident are you in your answer?","Why did you answer that way?","Does this design contain addictive or manipulative patterns?","How confident are you in your answer?","Why did you answer that way?","Does this design contain addictive or manipulative patterns?","How confident are you in your answer?","Why did you answer that way?","Does this design contain addictive or manipulative patterns?","How confident are you in your answer?","Why did you answer that way?"
"2025/11/23 5:55:01 PM GMT+3","Yes, I agree","35-44","More than 4 hours per day","1","2","No","5","","No","5","سريع التغير","No","1","","No","1","","Yes","5","يوجد اوتو سكرول - والمدة قصيره - سريع","Yes","5","","Not Sure","1","","Yes","5",""
"2025/11/24 9:32:22 PM GMT+3","Yes, I agree","18-24","More than 4 hours per day","2","3","Yes","4","Because I see multiple dress with multiple color","Yes","4","Because there is a person with with T-shirt and standing in the street","No","3","Because there is no multicolor and only writing","Yes","3","Because there is multiple picture ","Yes","5","There’s words like you need to see this","","4","It told me you should read this","Yes","4","one of the dresses say only three left","No","4","It’s just a person in this video so nothing special about it"
"2025/11/24 10:04:44 PM GMT+3","Yes, I agree","18-24","More than 4 hours per day","1","1","Yes","5","The “Hurry! Offer ends” countdown with the “only 3 left” paints the design as manipulative as there are no guarantees to the validity of the previous sentiments","Yes","5","Such designs that offer endless scrolling and content can be addictive ","Yes","4","What is “recommended” seems to present clickbait titles and misleading information ","Yes","4","Same as previous the “home” tab which would be in the context of YouTube a “recommended” tab algorithm curated, presents clickbait content which is both manipulative and addictive ","Yes","5","Includes Clickbait content, which is addictive and manipulative","Yes","5","Includes Clickbait and fear mongering titles, which is manipulative","Yes","5","Includes pressuring titles like the discount countdown and the only three left comment which is manipulative","Yes","5","Such design enables users to endlessly scroll and have access to endless content which is addictive"
"2025/11/26 11:40:34 AM GMT+3","Yes, I agree","25-34","More than 4 hours per day","1","1","Yes","3","colors and only 3 left ","No","3","the buttons maybe too big ","Yes","4","clear display of the massages and recommendations and what happening  in the layout ","Yes","4","you will not believe what happened in the video","Yes","5","auto play and what to keep people going","Yes","5","here what you have missed  ","Yes","4","hurry the offer will end this will make you fear of missing the deal","Yes","5","continue scrolling "
"2025/11/29 9:41:20 AM GMT+3","Yes, I agree","25-34","More than 4 hours per day","1","1","Yes","3","","Not Sure","3","","Yes","5","","Yes","4","","Yes","5","","Yes","5","","Yes","5","","Yes","5",""
"2025/11/29 10:41:49 AM GMT+3","Yes, I agree","18-24","3–4 hours per day","1","1","Not Sure","3","","Yes","3","","Not Sure","3","","Yes","5","","Yes","5","","Yes","5","","Yes","4","","Yes","5",""
"2025/12/26 10:21:11 PM GMT+3","Yes, I agree","25-34","3–4 hours per day","2","4","Yes","4","","Yes","4","","Yes","5","","Yes","5","","Yes","5","","Yes","5","","Yes","4","","Yes","4",""
"2025/12/26 10:33:14 PM GMT+3","Yes, I agree","18-24","3–4 hours per day","4","3","Yes","5","Only 3 items left","No","2","I don’t see anything wired ","Yes","2","","Yes","5","","Yes","5","","Yes","5","","Yes","5","","Not Sure","3",""
"2025/12/27 12:51:38 AM GMT+3","Yes, I agree","25-34","More than 4 hours per day","3","3","Yes","5","It makes me feel like I’m gonna miss an opportunity (“Hurry”, “Offer ends in blah bla”,”Only 3 left”)","No","3","The endless scrolling is maybe addictive ","Not Sure","1","Not sure","Not Sure","1","Not sure","Not Sure","1","Not sure","Not Sure","1","Not sure","Yes","5","This is a duplicate question ","Yes","3","The endless scrolling "
"2025/12/28 6:25:43 PM GMT+3","Yes, I agree","25-34","More than 4 hours per day","1","1","Not Sure","3","Only left is manipulation sentence ","No","5","","No","5","","No","5","","Yes","5","Git attention by big bold titled ","Yes","5","Number of like let us feel the need to engage ","Yes","5","Only lefts for sure ","Yes","5","Likes numbers "
